sc_itr;sol; time; isTimLim; isMemLim
Sc5-3; 680206.00; 200.24;1;0
Sc5-4; 948898.00; 23.04;0;0
Sc5-5; 904102.00; 10.70;0;0
Sc5-6; 884974.00; 200.21;1;0
Sc5-7; 776546.00; 200.23;1;0
Sc5-8; 1120825.00; 39.55;0;0
Sc5-9; 1336935.00; 200.26;1;0
Sc5-10; 780493.00; 200.23;1;0
Sc5-11; 1360047.00; 200.27;1;0
Sc5-12; 924495.00; 39.22;0;0
Sc5-13; 977110.00; 13.09;0;0
Sc5-14; 1198215.00; 200.24;1;0
Sc5-16; 919921.00; 24.21;0;0
Sc5-17; 1007468.00; 200.24;1;0
Sc5-18; 925217.00; 200.24;1;0
Sc6-2; 1207292.00; 200.44;1;0
Sc6-3; 1428981.00; 200.46;1;0
Sc6-5; 1136015.00; 200.47;1;0
Sc6-6; 1309111.00; 34.91;0;0
Sc6-7; 1027635.00; 200.46;1;0
Sc6-8; 1230350.00; 200.43;1;0
Sc6-9; 1817516.00; 200.46;1;0
Sc6-10; 1302893.00; 200.43;1;0
Sc6-11; 1465775.00; 50.22;0;0
Sc6-12; 1218077.00; 22.07;0;0
Sc6-13; 1711414.00; 200.43;1;0
Sc6-14; 1106052.00; 200.43;1;0
Sc6-15; 1288441.00; 200.43;1;0
Sc6-16; 1591547.00; 200.46;1;0
Sc6-17; 1403275.00; 200.43;1;0
Sc6-18; 1108512.00; 65.91;0;0
Sc6-19; 1539759.00; 200.41;1;0
Sc6-20; 1458148.00; 144.25;0;0
Sc7-2; 1892809.00; 200.49;1;0
Sc7-5; 1559361.00; 200.49;1;0
Sc7-6; 1067777.00; 200.49;1;0
Sc7-7; 1714653.00; 200.47;1;0
Sc7-8; 1455646.00; 200.49;1;0
Sc7-9; 1450936.00; 200.47;1;0
Sc7-10; 1614763.00; 200.47;1;0
Sc7-11; 1879158.00; 200.49;1;0
Sc7-12; 1278475.00; 200.51;1;0
Sc7-13; 1242888.00; 37.13;0;0
Sc7-14; 2001110.00; 200.47;1;0
Sc7-15; 1592449.00; 200.47;1;0
Sc7-16; 1573998.00; 200.47;1;0
Sc7-17; 1228033.00; 200.49;1;0
Sc7-18; 1186241.00; 200.47;1;0
Sc7-19; 1241617.00; 200.47;1;0
Sc8-2; 1859237.00; 201.18;1;0
Sc8-3; 2308328.00; 201.19;1;0
Sc8-4; 1963400.00; 201.15;1;0
Sc8-5; 2004304.00; 201.15;1;0
Sc8-6; 2336699.00; 201.16;1;0
Sc8-7; 2026532.00; 201.15;1;0
Sc8-9; 1474785.00; 201.15;1;0
Sc8-10; 2050706.00; 201.16;1;0
Sc8-11; 2048545.00; 201.15;1;0
Sc8-12; 1864824.00; 201.16;1;0
Sc8-13; 1929811.00; 201.13;1;0
Sc8-14; 1743154.00; 201.16;1;0
Sc8-15; 2451815.00; 201.19;1;0
Sc8-16; 1791095.00; 201.12;1;0
Sc8-18; 1655945.00; 201.18;1;0
Sc8-19; 1730497.00; 201.16;1;0
Sc8-20; 2052141.00; 201.15;1;0
