Sc(N/M); isFea(E); isOpt(E); sol(E); errCodeLP; isOptNoPre; isAllFixed; nbVar; nbVarValid; nbFixed; UB; LB; dureePre; isMIP; isFea; isOpt; TimLim; MemLim; nbMach; nbNode;  statusCode; sol; tempsTotal; nbConCut1; nbConCut2; nbConCut3
Sc3-10; 1; 1; 578628.00; -1; 0; 0; 43968; 4152; 6; 578628.00; 562194.14; 0.36; 1; 1; 1; -1; -1; 3.00; 0; 1; 578628.00; 0.80; -1; 1003; -1
Sc3-11; 1; 1; 620056.00; -1; 0; 0; 43968; 4368; 468; 621243.00; 613613.66; 0.61; 1; 1; 1; -1; -1; 3.83; 0; 102; 620056.00; 1.11; -1; 1003; -1
Sc3-12; 1; 1; 854297.00; -1; 0; 0; 43968; 4440; 0; 856078.00; 826439.01; 0.73; 1; 1; 1; -1; -1; 3.83; 0; 102; 854297.00; 2.12; -1; 1003; -1
Sc3-13; 1; 1; 534848.00; -1; 0; 0; 43968; 4584; 48; 538648.00; 522149.04; 0.69; 1; 1; 1; -1; -1; 3.83; 0; 102; 534848.00; 2.29; -1; 1004; -1
Sc3-14; 1; 1; 768176.00; -1; 0; 0; 43968; 4368; 0; 768176.00; 718258.40; 0.69; 1; 1; 1; -1; -1; 3.83; 28; 1; 768176.00; 2.09; -1; 1001; -1
Sc3-15; 1; 1; 656760.00; -1; 0; 0; 43968; 4008; 25; 656760.00; 638554.59; 0.64; 1; 1; 1; -1; -1; 3.92; 0; 102; 656760.00; 1.15; -1; 1016; -1
Sc3-16; 1; 1; 426840.00; -1; 0; 0; 43968; 4296; 471; 426840.00; 422144.06; 0.37; 1; 1; 1; -1; -1; 3.67; 0; 1; 426840.00; 0.84; -1; 1007; -1
Sc3-17; 1; 1; 614073.00; -1; 0; 0; 43968; 4296; 0; 614073.00; 588324.66; 0.69; 1; 1; 1; -1; -1; 4.00; 3822; 102; 614073.00; 28.70; -1; 1003; -1
Sc3-18; 1; 1; 889584.00; -1; 0; 0; 43968; 4080; 0; 893973.00; 836277.06; 0.47; 1; 1; 1; -1; -1; 3.75; 0; 102; 889584.00; 3.24; -1; 1008; -1
Sc3-19; 1; 1; 779883.00; -1; 0; 0; 43968; 4224; 286; 779883.00; 768212.97; 0.83; 1; 1; 1; -1; -1; 3.00; 0; 1; 779883.00; 1.54; -1; 1006; -1
Sc3-20; 1; 1; 586218.00; -1; 0; 0; 43968; 4512; 0; 586218.00; 569196.41; 0.42; 1; 1; 1; -1; -1; 3.00; 0; 1; 586218.00; 0.90; -1; 1014; -1
Sc4-1; 1; 1; 784819.00; -1; 0; 0; 98340; 9300; 0; 784991.00; 725235.75; 1.58; 1; 1; 1; -1; -1; 5.00; 4495; 102; 784819.00; 87.33; -1; 1378; -1
Sc4-2; 1; 1; 861493.00; -1; 0; 0; 98340; 9540; 0; 862141.00; 780119.40; 1.14; 1; 1; 1; -1; -1; 5.00; 74342; 102; 861493.00; 989.66; -1; 1392; -1
Sc4-3; 1; 1; 977031.00; -1; 0; 0; 98340; 8820; 0; 980050.00; 870872.91; 2.25; 1; 1; 1; -1; -1; 4.75; 10323; 102; 977031.00; 132.35; -1; 1398; -1
Sc4-4; 1; 1; 818180.00; -1; 0; 0; 98340; 9420; 0; 829155.00; 799868.53; 2.20; 1; 1; 1; -1; -1; 4.75; 315; 102; 818180.00; 10.44; -1; 1383; -1
