Sc(N/M); 1-cutLevel; UB; LB; nbVar; nbFixed; nbNode; statusCode; tempsTotal; nbConCut2;;Sc(N/M); 1-cutLevel; UB; LB; nbVar; nbFixed; nbNode; statusCode; tempsTotal; nbConCut2;;Sc(N/M); 1-cutLevel; UB; LB; nbVar; nbFixed; nbNode; statusCode; tempsTotal; nbConCut2
Sc4-10;38;594336;566985,26;9300;0;2367;102;87,34;2268;;Sc5-13;38;977110;945875,04;11760;0;1727;102;82,43;2928;;Sc6-6;38;1309111;1221152,73;18900;0;16093;102;207,51;4164
Sc4-10;39;594336;566985,26;9300;0;4034;1;93,87;2280;;Sc5-13;39;977110;945875,04;11760;0;6730;102;148,5;2964;;Sc6-6;39;1309111;1221152,73;18900;0;12338;102;175,36;4212
Sc4-10;40;594336;566985,26;9300;0;5827;102;79,52;2292;;Sc5-13;40;977110;945875,04;11760;0;3298;102;107,23;3000;;Sc6-6;40;1309111;1221152,73;18900;0;10021;102;175,42;4260
;;;;;;;;;;;Sc5-13;41;977110;945875,04;11760;0;3133;102;118,04;3036;;Sc6-6;41;1309111;1221152,73;18900;0;7858;102;168,15;4284
;;;;;;;;;;;Sc5-13;42;977110;945875,04;11760;0;3282;102;103,32;3072;;Sc6-6;42;1309111;1221152,73;18900;0;9236;102;204,84;4308
;;;;;;;;;;;Sc5-13;43;977110;945875,04;11760;0;2809;102;108,36;3096;;Sc6-6;43;1309111;1221152,73;18900;0;6184;102;218,18;4332
;;;;;;;;;;;Sc5-13;44;977110;945875,04;11760;0;4502;102;99,73;3120;;Sc6-6;44;1309111;1221152,73;18900;0;7491;102;195,51;4356
;;;;;;;;;;;Sc5-13;45;977110;945875,04;11760;0;3325;102;104,53;3144;;Sc6-6;45;1309111;1221152,73;18900;0;7491;102;195,61;4380
;;;;;;;;;;;Sc5-13;46;977110;945875,04;11760;0;2114;102;95,05;3168;;Sc6-6;46;1309111;1221152,73;18900;0;7491;102;196,26;4404
;;;;;;;;;;;Sc5-13;47;977110;945875,04;11760;0;4698;102;121,87;3192;;Sc6-6;47;1309111;1221152,73;18900;0;7491;102;196,32;4428
;;;;;;;;;;;Sc5-13;48;977110;945875,04;11760;0;3332;102;116,61;3216;;Sc6-6;48;1309111;1221152,73;18900;0;15311;102;200,26;4452
;;;;;;;;;;;Sc5-13;49;977110;945875,04;11760;0;3837;102;117,44;3240;;Sc6-6;49;1309111;1221152,73;18900;0;15311;102;199,33;4476
;;;;;;;;;;;Sc5-13;50;977110;945875,04;11760;0;3827;102;120,09;3264;;Sc6-6;50;1309111;1221152,73;18900;0;7459;102;171,19;4500
;;;;;;;;;;;Sc5-13;51;977110;945875,04;11760;0;3167;102;106,95;3288;;Sc6-6;51;1309111;1221152,73;18900;0;5250;102;137,22;4524
;;;;;;;;;;;Sc5-13;52;977110;945875,04;11760;0;2950;102;104,27;3312;;Sc6-6;52;1309111;1221152,73;18900;0;9027;102;210,04;4548
;;;;;;;;;;;Sc5-13;53;977110;945875,04;11760;0;2896;102;105,98;3336;;Sc6-6;53;1309111;1221152,73;18900;0;7874;102;171,88;4572
;;;;;;;;;;;;;;;;;;;;;;Sc6-6;54;1309111;1221152,73;18900;0;9318;102;187,1;4596
;;;;;;;;;;;;;;;;;;;;;;Sc6-6;55;1309111;1221152,73;18900;0;9116;102;188,22;4620
;;;;;;;;;;;;;;;;;;;;;;Sc6-6;56;1309111;1221152,73;18900;0;9851;102;162,8;4644
;;;;;;;;;;;;;;;;;;;;;;Sc6-6;57;1309111;1221152,73;18900;0;12247;102;176,7;4668
