Sc(N/M); isFea(E); isOpt(E); sol(E); errCodeLP; isOptNoPre; isAllFixed; nbVar; nbVarValid; nbFixed; UB; LB; dureePre; isMIP; isFea; isOpt; TimLim; MemLim; nbMach; nbNode;  statusCode; sol; tempsTotal; nbConCut1; nbConCut2; nbConCut3
Sc0-10; 1; 1; 279463.00; -1; 0; 0; 3288; 468; 0; 279463.00; 231771.95; 0.01; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.03; -1; 252; -1
Sc0-11; 1; 1; 465172.00; -1; 0; 1; 3288; 456; 456; 465172.00; 465172.00; 0.03; 0; 1; 1; -1; -1; -1.00; -1; 0; 465172.00; 0.03; -1; 180; -1
Sc0-12; 1; 1; 272844.00; -1; 0; 0; 3288; 456; 40; 272844.00; 267704.69; 0.05; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.08; -1; 288; -1
Sc0-13; 1; 1; 306268.00; -1; 0; 1; 3288; 492; 492; 306268.00; 306268.00; 0.03; 0; 1; 1; -1; -1; -1.00; -1; 0; 306268.00; 0.05; -1; 372; -1
Sc0-14; 1; 1; 247693.00; -1; 0; 1; 3288; 432; 432; 247693.00; 247693.00; 0.05; 0; 1; 1; -1; -1; -1.00; -1; 0; 247693.00; 0.08; -1; 276; -1
Sc0-15; 1; 1; 288443.00; -1; 0; 1; 3288; 468; 468; 288443.00; 288443.00; 0.05; 0; 1; 1; -1; -1; -1.00; -1; 0; 288443.00; 0.05; -1; 300; -1
Sc0-16; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc0-17; 1; 1; 445751.00; -1; 0; 0; 3288; 504; 0; 445751.00; 407004.12; 0.03; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.03; -1; 276; -1
Sc0-18; 1; 1; 252595.00; -1; 0; 0; 3288; 480; 18; 252595.00; 239895.57; 0.03; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.05; -1; 264; -1
Sc0-19; 1; 1; 202776.00; -1; 1; 0; 3288; 456; 0; 202776.00; 202776.00; 0.01; 0; 1; 1; -1; -1; -1.00; -1; 0; 202776.00; 0.01; -1; 360; -1
Sc1-0; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-1; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-2; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-3; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-4; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-5; 1; 1; 340442.00; -1; 0; 0; 13500; 1872; 854; 340442.00; 340302.00; 0.20; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.25; -1; 768; -1
Sc1-6; 1; 1; 515906.00; -1; 0; 0; 13500; 1656; 0; 515934.00; 454139.57; 0.14; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.17; -1; 768; -1
Sc1-7; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-8; 1; 1; 218447.00; -1; 0; 0; 13500; 1548; 61; 218447.00; 214661.00; 0.25; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.30; -1; 552; -1
Sc1-9; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-10; 1; 1; 371170.00; -1; 0; 0; 13500; 1512; 0; 371170.00; 344717.14; 0.09; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.14; -1; 456; -1
Sc1-11; 1; 1; 336176.00; -1; 0; 0; 13500; 1728; 10; 336176.00; 314277.47; 0.20; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.23; -1; 588; -1
Sc1-12; 1; 1; 196254.00; -1; 0; 0; 13500; 1656; 850; 196254.00; 196086.00; 0.13; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.19; -1; 768; -1
Sc1-13; 1; 1; 299215.00; -1; 0; 0; 13500; 1548; 13; 299215.00; 283996.55; 0.19; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.23; -1; 696; -1
