Sc(N/M); isFea(E); isOpt(E); sol(E); errCodeLP; isOptNoPre; isAllFixed; nbVar; nbVarValid; nbFixed; UB; LB; dureePre; isMIP; isFea; isOpt; TimLim; MemLim; nbMach; nbNode;  statusCode; sol; tempsTotal; nbConCut1; nbConCut2; nbConCut3
Sc2-10; 1; 1; 620056.00; -1; 0; 0; 43968; 4368; 183; 621243.00; 606881.91; 0.27; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.38; -1; -1; -1
Sc2-11; 1; 1; 854297.00; -1; 0; 0; 43968; 4440; 0; 856078.00; 824049.77; 0.27; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.37; -1; -1; -1
Sc2-12; 1; 1; 534848.00; -1; 0; 0; 43968; 4584; 4; 538648.00; 520218.28; 0.28; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.41; -1; -1; -1
Sc2-13; 1; 1; 768176.00; -1; 0; 0; 43968; 4368; 0; 768176.00; 717239.71; 0.28; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.41; -1; -1; -1
Sc2-14; 1; 1; 656760.00; -1; 0; 0; 43968; 4008; 9; 656760.00; 635367.16; 0.28; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.39; -1; -1; -1
Sc2-15; 1; 1; 426840.00; -1; 0; 0; 43968; 4296; 471; 426840.00; 422144.06; 0.27; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.39; -1; -1; -1
Sc2-16; 1; 1; 614073.00; -1; 0; 0; 43968; 4296; 0; 614073.00; 586937.32; 0.39; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.51; -1; -1; -1
Sc2-17; 1; 1; 889584.00; -1; 0; 0; 43968; 4080; 0; 893973.00; 836275.08; 0.20; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.31; -1; -1; -1
Sc2-18; 1; 1; 779883.00; -1; 0; 0; 43968; 4224; 0; 779883.00; 745922.20; 0.20; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.31; -1; -1; -1
Sc2-19; 1; 1; 586218.00; -1; 0; 0; 43968; 4512; 0; 586218.00; 568243.96; 0.19; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.30; -1; -1; -1
Sc3-0; 1; 1; 784819.00; -1; 0; 0; 98340; 9300; 0; 784991.00; 725206.20; 0.91; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 1.15; -1; -1; -1
Sc3-1; 1; 1; 861493.00; -1; 0; 0; 98340; 9540; 0; 862141.00; 780119.40; 0.84; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 1.11; -1; -1; -1
Sc3-2; 1; 1; 977031.00; -1; 0; 0; 98340; 8820; 0; 980050.00; 858188.73; 0.62; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.86; -1; -1; -1
Sc3-3; 1; 1; 818180.00; -1; 0; 0; 98340; 9420; 0; 829155.00; 798805.55; 0.70; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.95; -1; -1; -1
Sc3-4; 1; 1; 619845.00; -1; 0; 0; 98340; 8460; 0; 631066.00; 607678.17; 0.69; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.94; -1; -1; -1
Sc3-5; 1; 1; 655111.00; -1; 0; 0; 98340; 8820; 0; 666933.00; 612794.26; 0.86; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 1.09; -1; -1; -1
Sc3-6; 1; 1; 685280.00; -1; 0; 0; 98340; 8100; 120; 686324.00; 672706.43; 0.75; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 1.00; -1; -1; -1
Sc3-7; 1; 1; 687150.00; -1; 0; 0; 98340; 8820; 0; 691608.00; 673852.33; 0.52; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.78; -1; -1; -1
Sc3-8; 1; 1; 524059.00; -1; 0; 0; 98340; 8580; 4774; 524059.00; 523806.15; 0.66; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.90; -1; -1; -1
Sc3-9; 1; 1; 591784.00; -1; 0; 0; 98340; 9300; 0; 594336.00; 558910.49; 0.69; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.94; -1; -1; -1
Sc3-10; 1; 1; 771357.00; -1; 0; 0; 98340; 9060; 0; 774630.00; 752697.89; 0.62; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.86; -1; -1; -1
Sc3-11; 1; 1; 884930.00; -1; 0; 0; 98340; 9900; 0; 884958.00; 834708.06; 0.76; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 1.03; -1; -1; -1
