Sc(N/M); isFea(E); isOpt(E); sol(E); time(E); nbMach(E);  MemLim(E); TimeLim(E); isFea(H1); sol(H); time(H); nbMach(H)
Sc2-14; 1; 1; 299215.00; 1.00; 2; 0; 0; 1;  299215.00; 0.97; 2
Sc2-15; 1; 1; 448360.00; 0.29; 2; 0; 0; 1;  448360.00; 0.23; 2
Sc2-16; 0; 0; 9999999.00; 0.09; -1; 0; 0; 0;  9999999.00; 0.09; -1
Sc2-17; 1; 1; 765950.00; 0.23; 2; 0; 0; 1;  765950.00; 0.25; 2
Sc2-18; 1; 1; 480257.00; 0.18; 2; 0; 0; 1;  483841.00; 0.16; 2
Sc2-19; 1; 1; 211334.00; 0.40; 2; 0; 0; 1;  211334.00; 0.40; 2
Sc2-20; 0; 0; 9999999.00; 0.09; -1; 0; 0; 0;  9999999.00; 0.09; -1
Sc3-1; 1; 1; 697406.00; 2.67; 3; 0; 0; 1;  698386.00; 1.68; 4
Sc3-2; 1; 1; 1046434.00; 2.33; 3; 0; 0; 1;  1057658.00; 0.97; 3
Sc3-3; 0; 0; 9999999.00; 0.64; -1; 0; 0; 0;  9999999.00; 0.65; -1
Sc3-4; 1; 1; 681550.00; 2.64; 3; 0; 0; 1;  691033.00; 1.34; 3
Sc3-5; 1; 1; 642969.00; 1.28; 3; 0; 0; 1;  649468.00; 0.87; 3
Sc3-6; 1; 1; 649678.00; 2.04; 3; 0; 0; 1;  650762.00; 1.56; 3
Sc3-7; 1; 1; 685571.00; 1.14; 4; 0; 0; 1;  691194.00; 0.71; 3
Sc3-8; 1; 1; 691744.00; 2.49; 3; 0; 0; 1;  693806.00; 1.61; 3
Sc3-9; 1; 1; 478191.00; 1.34; 3; 0; 0; 1;  478191.00; 1.36; 3
Sc3-10; 1; 1; 578628.00; 0.59; 3; 0; 0; 1;  578628.00; 0.70; 3
Sc3-11; 1; 1; 620056.00; 1.08; 3; 0; 0; 1;  621243.00; 0.81; 3
Sc3-12; 1; 1; 854311.00; 2.22; 3; 0; 0; 1;  856078.00; 0.78; 3
Sc3-13; 1; 1; 534848.00; 2.32; 3; 0; 0; 1;  536986.00; 1.95; 4
Sc3-14; 1; 1; 768176.00; 2.42; 3; 0; 0; 1;  768486.00; 2.35; 3
Sc3-15; 1; 1; 656774.00; 1.07; 4; 0; 0; 1;  664767.00; 1.01; 3
Sc3-16; 1; 1; 426840.00; 0.94; 3; 0; 0; 1;  426840.00; 0.94; 3
Sc3-17; 1; 1; 614073.00; 54.57; 4; 0; 0; 1;  618452.00; 5.21; 4
Sc3-18; 1; 1; 889584.00; 2.69; 3; 0; 0; 1;  904370.00; 1.28; 3
Sc3-19; 1; 1; 779883.00; 1.30; 3; 0; 0; 1;  780823.00; 1.08; 3
Sc3-20; 1; 1; 586218.00; 0.72; 3; 0; 0; 1;  586374.00; 0.64; 3
Sc4-1; 1; 1; 784819.00; 240.72; 5; 0; 0; 1;  786944.00; 148.29; 5
Sc4-2; 1; 1; 861493.00; 1600.40; 5; 0; 0; 1;  862273.00; 400.32; 5
Sc4-3; 1; 1; 977031.00; 230.78; 4; 0; 0; 1;  978710.00; 154.42; 4
Sc4-4; 1; 1; 818180.00; 13.03; 4; 0; 0; 1;  831337.00; 9.62; 4
Sc4-5; 1; 1; 619845.00; 11.03; 4; 0; 0; 1;  622321.00; 4.86; 4
Sc4-6; 1; 0; 655111.00; 1800.37; 4; 0; 1; 1;  664736.00; 400.30; 4
Sc4-7; 1; 1; 685280.00; 7.63; 4; 0; 0; 1;  686324.00; 2.21; 4
Sc4-8; 1; 1; 687150.00; 4.44; 4; 0; 0; 1;  691650.00; 1.85; 4
Sc4-9; 1; 1; 524059.00; 1.88; 3; 0; 0; 1;  524059.00; 1.53; 3
Sc4-10; 1; 1; 591784.00; 139.98; 4; 0; 0; 1;  592432.00; 32.33; 4
Sc4-11; 1; 1; 771357.00; 21.38; 4; 0; 0; 1;  772898.00; 3.86; 5
Sc4-12; 1; 1; 884930.00; 34.76; 4; 0; 0; 1;  888611.00; 10.32; 4
Sc4-13; 1; 1; 1062748.00; 152.74; 4; 0; 0; 1;  1073155.00; 44.56; 4
Sc4-14; 1; 1; 772524.00; 13.39; 4; 0; 0; 1;  772553.00; 6.11; 4
Sc4-15; 1; 1; 562608.00; 9.78; 4; 0; 0; 1;  564596.00; 3.30; 4
Sc4-16; 1; 1; 824827.00; 57.34; 4; 0; 0; 1;  832763.00; 40.70; 4
Sc4-17; 1; 1; 1001072.00; 382.01; 4; 0; 0; 1;  1003949.00; 307.53; 4
Sc4-18; 1; 1; 717281.00; 24.33; 4; 0; 0; 1;  721179.00; 3.37; 4
Sc4-19; 1; 1; 1262228.00; 25.65; 3; 0; 0; 1;  1272340.00; 21.62; 3
Sc4-20; 1; 1; 784094.00; 18.93; 4; 0; 0; 1;  785147.00; 9.51; 4
Sc5-1; 1; 0; 1131237.00; 1800.38; 4; 0; 1; 1;  1135550.00; 400.37; 4
Sc5-2; 1; 0; 982814.00; 1800.40; 4; 0; 1; 1;  982814.00; 400.38; 4
Sc5-3; 1; 0; 667285.00; 1800.74; 4; 0; 1; 1;  688587.00; 400.41; 4
Sc5-4; 1; 1; 935120.00; 316.36; 5; 0; 0; 1;  949237.00; 32.00; 5
Sc5-5; 1; 1; 889899.00; 78.19; 4; 0; 0; 1;  904685.00; 12.11; 4
Sc5-6; 1; 0; 886860.00; 1800.39; 4; 0; 1; 1;  895997.00; 400.38; 4
Sc5-7; 1; 0; 757838.00; 1800.38; 4; 0; 1; 1;  779409.00; 400.37; 5
Sc5-8; 1; 1; 1114549.00; 1415.20; 4; 0; 0; 1;  1127810.00; 156.06; 4
Sc5-9; 1; 0; 1304261.00; 1800.61; 4; 0; 1; 1;  1352020.00; 400.38; 4
