Sc(N/M); isFea(E); isOpt(E); sol(E); time(E); isFea(H1); sol(H1); time(H1); isFea(H2); sol(H2); time(H2); isOptNoPre; isAllFixed; LB; UB; nbBool; nbFixed; nbBoolX; nbFixedX
Sc5-5; 1; 1; 889899.00; 23.10; 1; 1221005.00; 0.00; 1; 904102.00; 10.72; 0; 0; 873711.48; 904102.00; 133620; 0; 1260; 0
Sc5-6; 1; 0; 860439.00; 1800.31; 0; 782265.00; 0.00; 1; 666933.00; 200.16; 0; 0; 612794.26; 666933.00; 98340; 0; 1080; 0
Sc5-7; 1; 0; 754649.00; 1800.24; 1; 933111.00; 0.00; 1; 686324.00; 1.25; 0; 0; 672706.43; 686324.00; 98340; 120; 1080; 24
Sc5-8; 1; 1; 1114549.00; 415.19; 1; 1450155.00; 0.00; 1; 1120825.00; 39.55; 0; 0; 1034858.53; 1120825.00; 133620; 0; 1260; 0
Sc5-9; 1; 0; 1277871.00; 1011.80; 1; 696624.00; 0.00; 1; 524059.00; 0.87; 0; 0; 523806.15; 524059.00; 98340; 4774; 1080; 638
Sc5-10; 1; 1; 774366.00; 757.19; 0; 955466.00; 0.00; 1; 780493.00; 200.21; 0; 0; 731936.99; 780493.00; 133620; 0; 1260; 0
Sc5-11; 1; 1; 1315218.00; 1765.22; 0; 1232562.00; 0.00; 1; 1360047.00; 200.26; 0; 0; 1231688.09; 1360047.00; 133620; 0; 1260; 0
Sc5-12; 1; 1; 915068.00; 769.13; 0; 1089867.00; 0.00; 1; 924495.00; 38.77; 0; 0; 885316.91; 924495.00; 133620; 0; 1260; 0
Sc5-13; 1; 1; 969380.00; 68.13; 0; 978609.00; 0.00; 1; 977110.00; 13.06; 0; 0; 944794.13; 977110.00; 133620; 0; 1260; 0
Sc5-14; 1; 1; 1113345.00; 1516.04; 0; 1193644.00; 0.00; 1; 1198215.00; 200.23; 0; 0; 1013810.44; 1198215.00; 133620; 0; 1260; 0
Sc5-15; 0; 0; 9999999.00; 1.51; 1; 768570.00; 0.00; 1; 562622.00; 1.95; 0; 0; 548782.13; 562622.00; 98340; 0; 1080; 0
Sc5-16; 1; 1; 911205.00; 245.98; 0; 1142955.00; 0.00; 1; 919921.00; 24.20; 0; 0; 866432.76; 919921.00; 133620; 0; 1260; 0
Sc5-17; 1; 0; 973821.00; 1800.29; 0; 1069715.00; 0.00; 1; 1003591.00; 69.53; 0; 0; 875317.36; 1003591.00; 98340; 0; 1080; 0
Sc5-18; 1; 1; 914947.00; 340.20; 0; 919688.00; 0.00; 1; 925217.00; 200.24; 0; 0; 852970.32; 925217.00; 133620; 0; 1260; 0
Sc5-19; 0; 0; 9999999.00; 0.95; 0; 1262299.00; 0.00; 1; 1265815.00; 7.85; 0; 0; 1142630.32; 1265815.00; 98340; 0; 1080; 0
Sc5-20; 0; 0; 9999999.00; 1.20; 1; 863041.00; 0.00; 1; 786200.00; 2.12; 0; 0; 765706.88; 786200.00; 98340; 2; 1080; 2
Sc6-1; 0; 0; 9999999.00; 1.19; 0; 876937.00; 0.00; 1; 784991.00; 18.43; 0; 0; 725206.20; 784991.00; 98340; 0; 1080; 0
Sc6-2; 1; 0; 1199804.00; 736.38; 0; 927543.00; 0.00; 1; 862141.00; 200.21; 0; 0; 780119.40; 862141.00; 98340; 0; 1080; 0
Sc6-3; 1; 0; 1414465.00; 1800.48; 1; 1189756.00; 0.00; 1; 980050.00; 23.26; 0; 0; 858188.73; 980050.00; 98340; 0; 1080; 0
Sc6-4; 0; 0; 9999999.00; 5.71; 1; 1255938.00; 0.00; 1; 948898.00; 23.04; 0; 0; 906417.61; 948898.00; 133620; 0; 1260; 0
Sc6-5; 1; 0; 1088482.00; 1800.43; 1; 1221005.00; 0.00; 1; 904102.00; 10.72; 0; 0; 873711.48; 904102.00; 133620; 0; 1260; 0
Sc6-6; 1; 1; 1305201.00; 124.91; 0; 1139225.00; 0.00; 1; 1309111.00; 34.90; 0; 0; 1218469.50; 1309111.00; 250632; 0; 1728; 0
Sc6-7; 1; 0; 1001618.00; 1800.45; 1; 933111.00; 0.00; 1; 686324.00; 1.25; 0; 0; 672706.43; 686324.00; 98340; 120; 1080; 24
Sc6-8; 1; 0; 1230350.00; 1012.19; 1; 1450155.00; 0.00; 1; 1120825.00; 39.55; 0; 0; 1034858.53; 1120825.00; 133620; 0; 1260; 0
Sc6-9; 1; 0; 1741370.00; 1294.04; 1; 696624.00; 0.00; 1; 524059.00; 0.87; 0; 0; 523806.15; 524059.00; 98340; 4774; 1080; 638
Sc6-10; 1; 0; 1277540.00; 1800.41; 0; 955466.00; 0.00; 1; 780493.00; 200.21; 0; 0; 731936.99; 780493.00; 133620; 0; 1260; 0
Sc6-11; 1; 1; 1442880.00; 456.08; 0; 1358627.00; 0.00; 1; 1465775.00; 50.17; 0; 0; 1385966.39; 1465775.00; 250632; 0; 1728; 0
Sc6-12; 1; 1; 1201386.00; 136.76; 0; 1159446.00; 0.00; 1; 1218077.00; 21.90; 0; 0; 1134862.44; 1218077.00; 250632; 105; 1728; 15
Sc6-13; 1; 0; 1682671.00; 1800.43; 0; 978609.00; 0.00; 1; 977110.00; 13.06; 0; 0; 944794.13; 977110.00; 133620; 0; 1260; 0
Sc6-14; 1; 0; 1100191.00; 1025.53; 0; 1193644.00; 0.00; 1; 1198215.00; 200.23; 0; 0; 1013810.44; 1198215.00; 133620; 0; 1260; 0
Sc6-15; 1; 0; 1282060.00; 1800.49; 1; 768570.00; 0.00; 1; 562622.00; 1.95; 0; 0; 548782.13; 562622.00; 98340; 0; 1080; 0
Sc6-16; 1; 1; 1510037.00; 1788.43; 0; 1275224.00; 0.00; 1; 1591547.00; 200.43; 0; 0; 1416307.51; 1591547.00; 250632; 0; 1728; 0
Sc6-17; 1; 0; 1388662.00; 1800.41; 0; 1069715.00; 0.00; 1; 1003591.00; 69.53; 0; 0; 875317.36; 1003591.00; 98340; 0; 1080; 0
Sc6-18; 1; 1; 1102621.00; 193.47; 0; 1094299.00; 0.00; 1; 1108512.00; 66.02; 0; 0; 1006487.01; 1108512.00; 250632; 0; 1728; 0
Sc6-19; 1; 0; 1539387.00; 1800.44; 0; 1262299.00; 0.00; 1; 1265815.00; 7.85; 0; 0; 1142630.32; 1265815.00; 98340; 0; 1080; 0
Sc6-20; 1; 1; 1439883.00; 215.97; 0; 1660322.00; 0.00; 1; 1458148.00; 143.57; 0; 0; 1376729.40; 1458148.00; 250632; 0; 1728; 0
Sc7-1; 0; 0; 9999999.00; 38.27; 0; 876937.00; 0.00; 1; 784991.00; 18.43; 0; 0; 725206.20; 784991.00; 98340; 0; 1080; 0
Sc7-2; 1; 0; 1700032.00; 1800.48; 0; 927543.00; 0.00; 1; 862141.00; 200.21; 0; 0; 780119.40; 862141.00; 98340; 0; 1080; 0
Sc7-3; 0; 0; 9999999.00; 12.01; 1; 1189756.00; 0.00; 1; 980050.00; 23.26; 0; 0; 858188.73; 980050.00; 98340; 0; 1080; 0
Sc7-4; 0; 0; 9999999.00; 1.28; 1; 1255938.00; 0.00; 1; 948898.00; 23.04; 0; 0; 906417.61; 948898.00; 133620; 0; 1260; 0
Sc7-5; 1; 0; 1559361.00; 1379.70; 1; 1221005.00; 0.00; 1; 904102.00; 10.72; 0; 0; 873711.48; 904102.00; 133620; 0; 1260; 0
Sc7-6; 1; 0; 1046663.00; 1800.54; 0; 1139225.00; 0.00; 1; 1309111.00; 34.90; 0; 0; 1218469.50; 1309111.00; 250632; 0; 1728; 0
Sc7-7; 1; 0; 1543466.00; 1800.57; 1; 933111.00; 0.00; 1; 686324.00; 1.25; 0; 0; 672706.43; 686324.00; 98340; 120; 1080; 24
Sc7-8; 1; 0; 1267976.00; 1800.46; 1; 1450155.00; 0.00; 1; 1120825.00; 39.55; 0; 0; 1034858.53; 1120825.00; 133620; 0; 1260; 0
Sc7-9; 1; 0; 1428340.00; 1800.49; 1; 696624.00; 0.00; 1; 524059.00; 0.87; 0; 0; 523806.15; 524059.00; 98340; 4774; 1080; 638
