Sc(N/M); 1-cutSeuil; sol_nopre; UB; LB; isOptNoPre; isAllFixed; isMipExecuted; sol_pre; statusCode; nbVar; nbFixed; nbNode; tempsTotal; nbConCut2
Sc5-2;1200; 966248.00; 982256.00; 925841.62;0;0;1; 981296.00;111;11880;0;13257; 860.54;1206
Sc5-3;1200; 668945.00; 680206.00; 615245.60;0;0;1; 668729.00;11;11280;0;16535; 1808.87;1224
Sc5-4;1200; 935106.00; 948898.00; 906417.61;0;0;1; 935106.00;102;10560;0;3734; 103.60;1215
Sc5-5;1200; 889899.00; 904102.00; 873711.48;0;0;1; 889899.00;102;11880;0;5755; 25.83;1215
Sc5-6;1200; 860439.00; 884974.00; 735902.06;0;0;1; 816499.00;11;12240;0;10150; 1804.16;1212
Sc5-7;1200; 754649.00; 776546.00; 703901.88;0;0;1; 775560.00;111;10920;0;18779; 949.00;1221
Sc5-8;1200; 1114549.00; 1120825.00; 1056224.45;0;0;1; 1114549.00;102;11640;0;9832; 374.13;1204
Sc5-9;1200; 1277871.00; 1336935.00; 1081381.93;0;0;1; 1226817.00;11;11400;0;16035; 1804.39;1203
Sc5-10;1200; 774366.00; 780493.00; 735600.07;0;0;1; 774366.00;102;11040;0;78707; 1022.32;1212
Sc5-11;1200; 1315218.00; 1360047.00; 1231755.55;0;0;1; 1330077.00;111;11640;0;17012; 923.64;1226
Sc5-12;1200; 915068.00; 924495.00; 885374.63;0;0;1; 915068.00;102;10320;0;17786; 647.16;1215
Sc5-13;1200; 969380.00; 977110.00; 945005.67;0;0;1; 969380.00;102;11760;0;5486; 126.72;1224
Sc5-14;1200; 1113345.00; 1198215.00; 1015109.13;0;0;1; 1127100.00;11;11280;0;13806; 1802.69;1221
Sc5-16;1200; 911205.00; 919921.00; 866432.76;0;0;1; 911205.00;102;12240;0;24704; 228.80;1224
Sc5-17;1200; 973821.00; 1007468.00; 919232.37;0;0;1; 972647.00;11;12240;0;38604; 1809.21;1223
Sc5-18;1200; 914947.00; 925217.00; 852970.32;0;0;1; 914947.00;102;12240;0;5556; 385.86;1206
Sc6-2;2600; 1199804.00; 1207292.00; 1110421.96;0;0;1; 1202753.00;111;19980;0;18882; 900.65;2615
Sc6-3;2600; 1414465.00; 1428981.00; 1306329.61;0;0;1; 1414465.00;111;20340;0;17279; 1616.88;2628
Sc6-5;2600; 1088482.00; 1136015.00; 1016808.31;0;0;1; 1131015.00;11;20520;0;11025; 1809.52;2640
Sc6-6;2600; 1305201.00; 1309111.00; 1221152.73;0;0;1; 1305201.00;102;18900;0;10513; 175.14;2636
Sc6-7;2600; 1001618.00; 1027635.00; 918083.79;0;0;1; 1002128.00;11;19620;0;11312; 1805.00;2608
Sc6-8;2600; 1230350.00; 1230350.00; 1108827.07;0;0;1; 1230336.00;111;20340;0;11563; 943.04;2619
Sc6-9;2600; 1741370.00; 1817516.00; 1471294.40;0;0;1; 1677604.00;11;20340;0;12344; 1814.34;2614
Sc6-10;2600; 1277540.00; 1302893.00; 1149583.64;0;0;1; 1272972.00;11;19080;67;18306; 1804.41;2644
Sc6-11;2600; 1442880.00; 1465775.00; 1389718.61;0;0;1; 1442880.00;102;19440;0;6739; 231.97;2612
Sc6-12;2600; 1201386.00; 1218077.00; 1140094.95;0;0;1; 1201386.00;102;18720;105;18401; 168.79;2604
Sc6-13;2600; 1682671.00; 1711414.00; 1555336.11;0;0;1; 1702914.00;111;20880;0;16778; 1611.86;2604
Sc6-14;2600; 1100191.00; 1106052.00; 1007234.15;0;0;1; 1092935.00;111;21600;0;9540; 972.84;2604
Sc6-15;2600; 1282060.00; 1288441.00; 1125084.98;0;0;1; 1282074.00;11;20880;0;17347; 1811.99;2614
Sc6-16;2600; 1510037.00; 1591547.00; 1419474.89;0;0;1; 1510037.00;102;20880;0;8805; 658.59;2640
Sc6-17;2600; 1388662.00; 1403275.00; 1275284.41;0;0;1; 1393359.00;11;19800;0;16686; 1804.60;2632
Sc6-18;2600; 1102621.00; 1108512.00; 1009454.56;0;0;1; 1102621.00;102;18720;0;5952; 255.82;2615
Sc6-19;2600; 1539387.00; 1539759.00; 1396275.77;0;0;1; 1539519.00;111;20160;0;20497; 1441.56;2604
Sc6-20;2600; 1439883.00; 1458148.00; 1378646.00;0;0;1; 1439883.00;102;20880;0;4693; 89.18;2614
;;;;;;;;;;;;;;
Sc7-2;2000; 1700032.00; 1892809.00; 1424663.22;0;0;1; 1737999.00;11;24156;0;8823; 1845.82;2004
Sc7-5;2000; 1559361.00; 1559361.00; 1239912.92;0;0;1; 1494551.00;11;23976;0;5832; 1804.81;2004
Sc7-6;2000; 1046663.00; 1067777.00; 991382.35;0;0;1; 1046663.00;11;23796;0;11841; 1806.62;2004
Sc7-7;2000; 1543466.00; 1714653.00; 1334997.44;0;0;1; 1551377.00;11;25056;0;5014; 1816.98;2028
Sc7-8;2000; 1267976.00; 1455646.00; 1146858.78;0;0;1; 1282772.00;111;24696;0;13952; 1563.42;2010
Sc7-9;2000; 1428340.00; 1450936.00; 1341837.74;0;0;1; 1431271.00;11;24516;0;8153; 1813.22;2010
Sc7-10;2000; 1571754.00; 1614763.00; 1409581.36;0;0;1; 1542251.00;11;23616;0;3330; 1811.36;2022
Sc7-11;2000; 1856018.00; 1879158.00; 1648816.19;0;0;1; 1857933.00;111;25056;0;17114; 1397.81;2034
Sc7-12;2000; 1152633.00; 1278475.00; 1064339.57;0;0;1; 1182532.00;11;26676;0;9457; 1807.17;2004
Sc7-13;2000; 1227285.00; 1242888.00; 1170300.79;0;0;1; 1227285.00;102;21816;0;53853; 1395.54;2041
Sc7-14;2000; 1972337.00; 2001110.00; 1706231.06;0;0;1; 1972222.00;11;23976;0;10022; 1817.14;2040
Sc7-15;2000; 1542435.00; 1592449.00; 1169163.98;0;0;1; 1580880.00;11;23436;0;3598; 1826.35;2016
Sc7-16;2000; 1526225.00; 1573998.00; 1351733.95;0;0;1; 1520945.00;11;24696;0;12305; 1813.38;2010
Sc7-17;2000; 1220383.00; 1228033.00; 1136713.07;0;0;1; 1220460.00;11;23976;0;5801; 1809.90;2038
Sc7-18;2000; 1160069.00; 1186241.00; 1069638.41;0;0;1; 1160069.00;11;23076;0;7216; 1808.38;2010
Sc7-19;2000; 1240038.00; 1241617.00; 1153168.77;0;0;1; 1241488.00;11;22716;0;17896; 1805.33;2025
Sc8-2;5400; 1551279.00; -1.00; 1295613.78;1;0;0; -1.00;0;52032;0;-1; 4.93;5448
Sc8-3;5400; 2152322.00; 2308328.00; 1570484.48;0;0;1; 2002348.00;11;51360;0;1196; 1813.01;5435
Sc8-4;5400; 1576540.00; -1.00; 1294742.25;1;0;0; -1.00;0;53712;0;-1; 46.25;5444
Sc8-5;5400; 1834425.00; 2004304.00; 1297377.37;0;0;1; 1839838.00;11;52368;0;1031; 1818.87;5472
Sc8-6;5400; 1900940.00; -1.00; 1428937.79;1;0;0; -1.00;0;54048;0;-1; 5.93;5412
Sc8-7;5400; 1583220.00; 2026532.00; 1137643.07;0;0;1; 1626149.00;11;51360;0;58; 1813.45;5444
Sc8-9;5400; 1332245.00; 1474785.00; 1171798.59;0;0;1; 1335483.00;11;51696;0;1935; 1815.86;5407
Sc8-10;5400; 1989953.00; -1.00; 1413015.37;1;0;0; -1.00;0;54048;0;-1; 5.16;5412
Sc8-11;5400; 1935227.00; 2048545.00; 1524976.16;0;0;1; 1995517.00;11;50016;0;1670; 1812.69;5475
Sc8-12;5400; 1614851.00; 1864824.00; 1304498.22;0;0;1; 1636394.00;11;53376;0;1443; 1816.14;5437
Sc8-13;5400; 1838012.00; 1929811.00; 1406955.90;0;0;1; 1848119.00;11;49344;0;159; 1826.10;5416
Sc8-14;5400; 1584592.00; 1743154.00; 1250965.44;0;0;1; 1645851.00;11;52032;0;1227; 1812.33;5418
Sc8-15;5400; 2055045.00; 2451815.00; 1496262.26;0;0;1; 1941426.00;11;54048;0;629; 1849.71;5406
Sc8-16;5400; 1671465.00; 1791095.00; 1038072.79;0;0;1; 1457420.00;11;47664;0;711; 1820.59;5430
Sc8-18;5400; 1415278.00; 1655945.00; 1143868.58;0;0;1; 1371909.00;11;52368;0;1264; 1814.45;5484
Sc8-19;5400; 1509125.00; 1730497.00; 1270689.69;0;0;1; 1489981.00;11;52032;0;1026; 1818.10;5472
Sc8-20;5400; 1863881.00; 2052141.00; 1629862.81;0;0;1; 1870092.00;11;49344;0;1656; 1814.66;4164
