Sc(N/M); isFea(E); isOpt(E); sol(E); time(E); nbMach(E);  MemLim(E); TimeLim(E); isFea(H1); sol(H); time(H); nbMach(H)
Sc5-17; 1; 0; 962289.00; 1800.39; 4; 0; 1; 0;  1007941.00; 0.01; 3
Sc5-18; 1; 1; 890286.00; 290.07; 4; 0; 0; 0;  1157414.00; 0.00; 4
Sc5-19; 1; 0; 1111053.00; 1800.39; 5; 0; 1; 0;  1080286.00; 0.00; 3
Sc5-20; 1; 0; 1029248.00; 1293.12; 4; 1; 0; 0;  1478928.00; 0.01; 3
Sc6-1; 0; 0; 9999999.00; 1.97; -1; 0; 0; 0;  1384589.00; 0.01; 4
Sc6-2; 1; 1; 1349841.00; 962.71; 5; 0; 0; 0;  1659340.00; 0.01; 3
Sc6-3; 1; 0; 1749378.00; 1800.74; 5; 0; 1; 0;  1906500.00; 0.01; 4
Sc6-4; 1; 0; 1353494.00; 1800.74; 5; 0; 1; 0;  1327102.00; 0.00; 4
Sc6-5; 1; 0; 1179927.00; 1800.74; 6; 0; 1; 0;  1456498.00; 0.01; 5
Sc6-6; 1; 0; 1642477.00; 1800.80; 5; 0; 1; 0;  1676322.00; 0.00; 4
Sc6-7; 0; 0; 9999999.00; 9.15; -1; 0; 0; 0;  1138898.00; 0.01; 5
Sc6-8; 1; 0; 1346953.00; 1800.76; 5; 0; 1; 0;  1474831.00; 0.01; 4
Sc6-9; 1; 1; 1584900.00; 87.98; 5; 0; 0; 0;  1673904.00; 0.00; 4
Sc6-10; 1; 0; 1232616.00; 1800.71; 5; 0; 1; 0;  1299906.00; 0.00; 4
Sc6-11; 0; 0; 9999999.00; 1.78; -1; 0; 0; 0;  1166855.00; 0.01; 4
Sc6-12; 1; 0; 1379100.00; 1801.00; 5; 0; 1; 0;  1560598.00; 0.01; 4
Sc6-13; 0; 0; 9999999.00; 1.80; -1; 0; 0; 0;  925833.00; 0.01; 4
Sc6-14; 1; 0; 1618797.00; 1800.75; 5; 0; 1; 0;  1791619.00; 0.01; 4
Sc6-15; 1; 0; 1656384.00; 1800.77; 4; 0; 1; 0;  1452999.00; 0.01; 4
Sc6-16; 1; 0; 1435878.00; 1800.74; 5; 0; 1; 0;  1639470.00; 0.00; 4
Sc6-17; 1; 0; 1766626.00; 1800.74; 5; 0; 1; 0;  1308824.00; 0.01; 3
Sc6-18; 1; 0; 1500484.00; 1800.73; 5; 0; 1; 0;  1445573.00; 0.00; 5
Sc6-19; 0; 0; 9999999.00; 2.76; -1; 0; 0; 0;  1550294.00; 0.01; 3
Sc6-20; 1; 0; 1363472.00; 1800.74; 5; 0; 1; 0;  1406463.00; 0.01; 4
